Item_Identifier,Item_Weight,Outlet_Size
FDA44,19.7,Small
NCR17,9.8,Small
FDU04,12.6,Small
FDF41,12.15,Medium
FDB56,8.75,Small
NCP18,12.6,Medium
FDB56,8.75,Small
FDT28,13.3,Medium
FDD10,12.6,Medium
FDW57,8.31,Medium
DRB48,16.75,High
FDP09,19.75,Medium
FDH14,17.1,High
FDA47,10.5,High
FDG12,6.635,Medium
DRE60,12.6,Small
DRK49,14.15,High
FDD03,13.3,Small
FDS52,8.89,Medium
FDW39,12.6,Small
FDX34,12.6,Medium
FDV11,9.1,Medium
FDD17,7.5,Medium
FDZ16,16.85,Medium
FDZ46,7.485,Small
DRA12,11.6,Medium
FDY58,11.65,Medium
NCF19,13.0,Medium
DRJ13,12.65,Medium
FDB14,20.25,Medium
FDJ38,8.6,Small
FDW11,12.6,Medium
FDL40,17.7,Small
DRI49,14.15,Small
FDV38,19.25,Medium
DRG23,8.88,High
NCP30,20.5,Medium
FDY25,12.6,Medium
NCH54,13.5,Small
NCR53,12.6,Medium
FDS52,8.89,Medium
FDG02,7.855,Medium
NCO26,7.235,Small
FDH35,12.6,Medium
FDB51,6.92,Medium
FDX44,9.3,Medium
NCN07,18.5,Medium
NCC31,8.02,Small
NCX54,9.195,Medium
NCO55,12.8,Medium
NCC30,16.6,Medium
FDI16,14.0,Small
FDP16,18.6,Medium
FDB11,16.0,Small
NCB06,17.6,Small
FDA45,21.25,Small
NCO26,7.235,Small
DRJ25,14.6,Medium
FDR28,13.85,Medium
FDI04,13.65,Medium
DRK12,12.6,Medium
FDX20,7.365,Small
NCI18,18.35,Medium
FDB36,5.465,Medium
FDN13,18.6,Medium
DRD24,13.85,Medium
FDQ28,14.0,High
FDM22,14.0,High
FDR07,12.6,Medium
FDV25,5.905,Medium
DRF49,7.27,Small
FDW51,6.155,Small
DRL01,19.5,Medium
FDP25,15.2,Medium
FDL50,12.15,Medium
NCB30,12.6,Medium
FDW11,12.6,Medium
NCM43,14.5,Small
FDK44,16.6,Medium
FDM15,11.8,High
FDS31,13.1,High
FDI32,17.7,Medium
FDR47,17.85,Medium
FDB35,12.3,Medium
NCU05,11.8,Medium
DRY23,12.6,Small
FDO24,11.1,Medium
FDQ28,12.6,Medium
FDV39,11.3,Medium
NCO17,12.6,Small
FDU50,5.75,High
FDT12,12.6,Medium
FDK58,11.35,Medium
FDO08,12.6,Small
NCW29,14.0,Medium
FDE04,19.75,Medium
NCB19,6.525,Medium
FDV15,10.3,Medium
FDL58,5.78,Medium
FDA08,11.85,Medium
FDT43,16.35,Medium
NCX06,12.6,Medium
FDT20,10.5,Small
FDB41,19.0,Small
NCN55,14.6,Medium
FDE40,12.6,Medium
FDX49,12.6,Medium
NCM53,18.75,Medium
FDE36,5.26,Small
FDN57,18.25,Medium
FDI24,12.6,Medium
FDI19,15.1,Small
FDF24,15.5,Medium
FDG52,13.65,Medium
DRF36,16.1,Medium
FDS45,12.6,Small
FDX40,12.85,Medium
DRK12,9.5,Small
DRC27,13.8,Small
FDL58,5.78,Medium
NCD30,19.7,Medium
NCZ54,14.65,Medium
FDE10,6.67,Medium
FDR44,6.11,Medium
FDP28,13.65,Medium
FDX15,17.2,High
FDA39,6.32,Small
FDY24,4.88,Medium
FDC60,5.425,Medium
FDH28,15.85,Small
FDT25,7.5,Medium
DRJ13,12.65,High
NCO07,12.6,Small
FDW20,20.75,High
DRF27,12.6,Small
FDS49,9.0,Small
FDX25,12.6,Medium
NCX42,12.6,Medium
FDG33,12.6,Medium
FDL56,14.1,Medium
FDF14,7.55,Small
NCD06,13.0,Small
DRM47,12.6,Medium
FDS46,12.6,Small
FDB35,12.3,High
FDX21,12.6,Medium
NCU05,12.6,Medium
NCR38,17.25,Medium
NCR18,15.85,Medium
NCU41,18.85,Small
FDY56,16.35,Medium
DRJ51,14.1,Small
FDK21,7.905,Small
FDY25,12.0,High
FDU44,12.15,Small
FDL43,10.1,Medium
FDF05,17.5,Medium
DRF15,12.6,Small
FDL20,17.1,Medium
FDV32,7.785,Medium
FDJ34,11.8,High
FDG08,13.15,Medium
FDQ04,12.6,Small
FDW13,8.5,Medium
NCI17,8.645,High
FDY03,17.6,Medium
FDS12,9.1,Medium
FDJ55,12.8,High
DRK01,7.63,Small
FDG28,9.285,Medium
FDY38,13.6,Medium
FDN01,8.895,Medium
NCR54,16.35,High
FDG29,17.6,High
FDG24,7.975,High
FDG59,15.85,Medium
FDM28,15.7,High
FDW04,8.985,Small
FDS26,20.35,High
FDQ56,6.59,High
FDK51,19.85,Small
FDL22,16.85,Small
FDH19,12.6,Medium
FDY55,16.75,High
FDY03,17.6,Medium
FDK21,7.905,Medium
FDZ10,12.6,Medium
FDZ32,7.785,Medium
NCZ18,7.825,Small
NCF07,12.6,Medium
DRE49,20.75,Medium
FDJ08,12.6,Small
FDT39,6.26,Small
FDE08,18.2,Medium
NCD06,13.0,Medium
FDB57,20.25,Small
NCT54,8.695,Medium
DRF49,7.27,Medium
FDM25,12.6,Medium
FDF20,12.85,Medium
FDH27,7.075,Medium
FDV60,12.6,Medium
FDY59,8.195,Medium
FDK36,7.09,Small
NCM31,6.095,Small
FDE33,19.35,Medium
FDU36,6.15,Small
FDV13,12.6,Medium
FDV20,12.6,Small
NCQ54,17.7,Small
FDO23,17.85,Medium
DRE60,9.395,Medium
DRP47,15.75,Medium
FDB21,7.475,Medium
FDR04,7.075,Medium
FDX23,6.445,Small
FDX19,19.1,Small
FDD40,20.25,Small
FDA01,15.0,Small
FDS33,6.67,Small
FDM50,12.6,Medium
FDB29,16.7,High
FDF46,7.07,Medium
FDA33,6.48,Medium
FDC08,19.0,Medium
FDB53,13.35,Medium
FDY31,12.6,Medium
DRQ35,12.6,Medium
FDX36,9.695,Medium
DRD13,15.0,Medium
FDC52,11.15,Medium
FDB45,20.85,Medium
NCK19,9.8,Medium
FDV51,16.35,High
FDZ35,9.6,Medium
NCW17,12.6,Medium
FDV59,13.35,Medium
DRH39,20.7,High
FDN60,12.6,Medium
FDU55,16.2,Medium
FDN58,12.6,Medium
FDC41,12.6,Small
FDO01,12.6,Medium
NCO43,5.5,Small
FDQ07,15.1,Medium
FDF28,15.7,Medium
FDM01,7.895,Medium
FDY49,12.6,Medium
FDR24,17.35,High
NCY18,7.285,High
NCY30,20.25,Medium
FDJ22,12.6,Small
DRI37,15.85,Medium
FDL27,6.17,Medium
NCO30,19.5,Medium
NCB07,19.2,Medium
FDX25,16.7,Medium
FDP59,20.85,Medium
FDR59,14.5,Medium
FDT27,11.395,High
DRI01,7.97,Small
FDU09,7.71,Medium
FDH26,19.25,Small
FDH27,7.075,Small
FDN39,12.6,Medium
FDH40,11.6,Small
FDJ56,12.6,Medium
DRN47,12.1,Medium
NCO17,10.0,Small
FDX60,14.35,Medium
FDT22,10.395,Medium
FDX26,12.6,Small
FDG45,8.1,High
FDD44,8.05,Small
FDS15,9.195,Medium
FDL51,20.7,Medium
FDL32,15.7,Medium
FDZ07,12.6,Medium
NCW53,12.6,Small
NCA54,16.5,Medium
FDX09,9.0,Small
FDO51,6.785,High
FDW49,19.5,Medium
FDB27,7.575,Small
FDF45,18.2,High
FDV02,16.75,High
FDY28,7.47,Small
FDX31,12.6,Medium
FDR43,12.6,Medium
FDP51,13.85,Medium
FDL52,6.635,Medium
FDR44,6.11,Small
FDB34,15.25,Small
FDC50,15.85,Small
FDT57,15.2,Medium
FDP22,12.6,Medium
DRE49,20.75,Small
FDM40,10.195,Small
FDY32,7.605,Medium
FDW07,18.0,Small
FDU02,12.6,Small
NCF18,18.35,Medium
FDQ56,6.59,Medium
FDN58,13.8,Medium
FDG35,21.2,Small
FDY34,10.5,Medium
NCE19,8.97,Medium
NCK31,12.6,Medium
NCJ29,10.6,Medium
FDT59,13.65,Small
NCX41,19.0,Small
FDU45,12.6,Medium
FDW24,12.6,Small
FDF22,6.865,Medium
FDM60,10.8,Small
FDR02,16.7,High
DRP35,12.6,Medium
FDS48,15.15,Small
NCZ42,10.5,Medium
FDZ38,17.6,Medium
FDH19,19.35,Small
NCB55,15.7,Small
FDC15,18.1,Medium
FDF11,10.195,Small
FDW35,12.6,Small
FDB44,6.655,Medium
NCC06,19.0,Medium
FDR04,7.075,Medium
FDB17,13.15,Medium
FDW43,20.1,Medium
FDA27,20.35,Medium
NCU41,18.85,Medium
FDY56,16.35,Medium
FDV39,11.3,Medium
FDN32,17.5,Medium
FDW07,18.0,Medium
FDZ27,7.935,Medium
FDW23,12.6,Small
FDU01,20.25,Small
FDF10,15.5,Medium
DRH03,12.6,Small
FDW27,12.6,Small
DRI13,15.35,High
NCR05,10.1,Small
FDB29,16.7,Medium
FDL51,20.7,Medium
FDB11,16.0,High
FDI35,14.0,Small
FDX08,12.85,Small
FDP59,20.85,Medium
NCJ18,12.35,Medium
FDJ41,6.85,Medium
FDU08,10.3,Small
FDS09,12.6,Small
DRH15,8.775,High
NCV17,18.85,Medium
NCO54,12.6,Medium
FDE24,14.85,Small
FDH53,20.5,Small
FDZ13,7.84,Medium
FDW28,18.25,Medium
FDU46,10.3,High
NCE43,12.5,Small
FDS26,12.6,Medium
FDB14,20.25,Small
DRB48,12.6,Medium
NCC42,15.0,High
FDQ20,8.325,High
FDA13,15.85,Medium
FDZ15,13.1,Small
NCV42,6.26,Medium
DRI51,17.25,Medium
FDO28,5.765,Small
NCS54,13.6,High
FDH16,10.5,Medium
FDG24,7.975,Medium
FDR52,12.65,Medium
NCH06,12.3,Medium
FDA36,5.985,Medium
FDU56,12.6,Medium
FDT09,15.15,Medium
FDU25,12.35,Small
FDK41,14.3,Small
NCT54,8.695,Small
FDV51,16.35,Medium
FDM24,6.135,Medium
NCO30,19.5,Medium
FDQ45,9.5,High
DRK59,8.895,Small
FDW28,18.25,Small
FDC02,21.35,Medium
FDR21,19.7,Small
FDN48,12.6,Medium
FDT44,16.6,Medium
FDX14,12.6,Small
FDH57,10.895,Small
FDH28,12.6,Small
NCT41,12.6,Small
FDO11,12.6,Medium
NCP42,8.51,Medium
FDN09,14.15,Medium
FDP32,6.65,Small
FDV57,15.25,Medium
FDW28,18.25,High
FDR56,12.6,Medium
FDA40,16.0,Small
NCG42,19.2,Medium
NCK54,12.15,Medium
FDE16,8.895,Medium
FDB15,10.895,Medium
FDC40,16.0,Medium
FDE53,12.6,Medium
FDK24,9.195,Medium
FDW31,11.35,Medium
NCX29,10.0,Medium
NCM07,9.395,Small
DRN36,12.6,Small
FDQ37,20.75,Medium
FDK43,9.8,Medium
FDK28,5.695,Medium
FDR43,18.2,Medium
FDL48,19.35,High
DRL23,18.35,Medium
NCX42,6.36,Medium
DRD37,9.8,Medium
FDZ47,12.6,Medium
NCJ54,12.6,Medium
FDL52,6.635,High
FDC15,18.1,Medium
NCD19,8.93,Medium
FDD08,8.3,High
NCN18,8.895,Medium
FDY56,16.35,Small
NCI29,8.6,Medium
NCE06,12.6,Small
FDC08,19.0,Medium
FDU52,7.56,Medium
FDN16,12.6,High
NCM55,15.6,Medium
FDR49,8.71,Medium
FDC15,18.1,Medium
FDB53,13.35,Medium
FDK44,16.6,Small
FDA16,6.695,Small
FDO19,12.6,Medium
FDO04,16.6,Small
NCL19,15.35,Small
FDA44,19.7,Medium
FDR60,14.3,Medium
FDV37,12.6,Medium
FDG53,10.0,High
DRG01,14.8,Small
FDB38,12.6,Small
FDI27,8.71,Medium
FDD29,12.15,Medium
NCR41,17.85,Medium
FDW44,9.5,Medium
FDU21,11.8,Small
FDI14,14.1,Small
FDW50,12.6,Small
FDN39,19.35,Small
FDT31,19.75,Medium
FDJ14,10.3,Medium
NCQ43,12.6,Medium
FDZ22,12.6,Medium
FDU38,10.8,Medium
FDS32,17.75,Medium
DRH13,8.575,Medium
DRF03,19.1,Medium
FDJ20,20.7,Medium
FDE22,12.6,Small
FDX22,6.785,Small
DRM11,6.57,High
FDL58,5.78,Medium
FDL25,6.92,Medium
FDD40,20.25,Medium
FDT08,13.65,Medium
FDO22,13.5,Medium
NCM41,16.5,Medium
FDJ21,16.7,Medium
FDC53,8.68,Medium
DRK35,12.6,Small
FDQ09,7.235,Medium
DRB48,16.75,Small
DRE25,15.35,Small
FDL08,10.8,High
NCV42,6.26,Medium
FDW03,5.63,Medium
FDL25,6.92,Medium
FDC17,12.15,Medium
FDK44,16.6,Medium
FDE34,9.195,Small
FDP10,19.0,Small
FDZ22,9.395,Medium
NCK19,9.8,High
FDO44,12.6,Medium
NCU41,18.85,Small
NCF31,9.13,Medium
FDG14,9.0,Medium
NCH30,17.1,Small
FDR36,6.715,High
NCJ30,5.82,Small
FDR08,18.7,Medium
FDU04,7.93,Medium
NCQ50,18.75,Medium
FDL46,12.6,Medium
DRK37,5.0,Small
FDK48,7.445,Small
FDV58,20.85,Small
FDN27,20.85,Medium
FDZ52,19.2,Medium
NCF42,17.35,Small
FDQ48,14.3,Small
FDW49,19.5,Medium
FDR58,6.675,Small
NCE07,8.18,Medium
FDK14,6.98,Small
FDC11,12.6,Medium
FDL22,16.85,Medium
NCQ41,14.8,High
FDX46,12.3,High
FDC35,7.435,Medium
FDH45,15.1,Small
FDX33,9.195,Medium
DRJ35,10.1,High
FDC40,16.0,High
FDO19,17.7,Medium
FDP13,8.1,Medium
FDP24,20.6,Medium
NCQ42,20.35,Medium
FDY59,8.195,Medium
FDU14,17.75,Medium
FDB21,7.475,Small
FDT32,19.0,Medium
FDK20,12.6,Medium
FDX09,12.6,Medium
FDM01,7.895,Small
DRI37,12.6,Medium
FDL20,17.1,Medium
FDU13,8.355,Medium
FDE05,12.6,Small
FDE58,18.5,High
FDT32,12.6,Medium
FDZ01,8.975,Medium
FDM08,10.1,Small
FDS58,9.285,High
FDZ26,11.6,Small
FDC46,12.6,Medium
FDY51,12.5,Medium
FDL34,16.0,Medium
DRG39,14.15,Medium
NCG43,20.2,Medium
FDT01,13.65,Medium
NCR38,17.25,Medium
DRF01,5.655,Medium
FDF53,20.75,Small
FDS45,5.175,High
FDR20,20.0,Medium
FDY07,11.8,Medium
FDD38,16.75,Medium
DRF15,18.35,Medium
FDH32,12.8,Small
NCJ42,19.75,Small
FDB56,8.75,Medium
FDD03,13.3,Medium
NCL18,18.85,High
FDW22,9.695,Medium
FDE32,20.7,Small
FDA34,12.6,Medium
FDJ08,11.1,Medium
FDG38,8.975,High
FDD29,12.15,Medium
NCE31,7.67,High
FDS19,13.8,High
FDU11,4.785,High
FDL02,20.0,Medium
FDO51,12.6,Medium
DRK23,8.395,Medium
FDO27,6.175,Medium
FDB16,8.21,Medium
FDA44,19.7,Medium
NCB18,19.6,Medium
NCL53,7.5,Small
FDR16,5.845,Medium
NCQ05,11.395,High
FDF44,7.17,Medium
FDU50,5.75,Medium
FDG20,15.5,Medium
FDD58,7.76,Small
FDT01,13.65,Medium
FDK15,10.8,Medium
FDJ08,11.1,Medium
FDS10,12.6,Medium
FDJ55,12.8,Medium
FDU32,8.785,Medium
FDG09,20.6,Small
FDE39,7.89,Medium
FDU56,16.85,High
NCH55,16.35,Medium
FDX33,12.6,Medium
FDR24,17.35,Medium
FDC33,12.6,Medium
NCV54,12.6,Medium
NCQ02,12.6,High
NCU17,5.32,Medium
NCZ06,12.6,Small
FDV37,13.0,Small
DRH25,12.6,Medium
NCI43,19.85,Small
NCQ53,17.6,Medium
NCT18,14.6,Small
FDF14,7.55,Medium
FDM14,13.8,Small
FDX57,17.25,Medium
NCV05,10.1,Small
FDX39,14.3,High
FDA23,9.8,Small
NCV06,11.3,Small
NCE31,7.67,Medium
DRI39,13.8,Medium
FDH21,10.395,Medium
FDR26,20.7,Small
FDA14,12.6,Small
FDG21,17.35,Medium
NCQ38,16.35,Medium
FDN20,19.35,Small
NCN29,15.2,Medium
FDI28,14.3,Medium
FDA03,12.6,Medium
FDZ28,20.0,Small
FDO52,12.6,Medium
FDU10,10.1,Medium
FDP13,12.6,Medium
FDV02,12.6,Medium
FDS28,8.18,Medium
FDW49,19.5,Small
FDP33,18.7,Small
FDJ03,12.35,Medium
FDQ51,16.0,High
DRK23,8.395,Medium
FDU11,4.785,Medium
NCK06,5.03,Small
FDY09,15.6,Medium
NCY18,7.285,Small
FDA10,20.35,Medium
FDO34,17.7,Medium
FDE38,12.6,Medium
FDF40,20.25,Medium
FDY02,8.945,Medium
FDS03,12.6,Small
FDB59,18.25,Small
NCQ42,20.35,Medium
FDO15,16.75,Medium
DRN47,12.1,Medium
FDA03,18.5,Small
FDA01,15.0,Small
FDB38,19.5,Small
FDT59,13.65,Medium
FDG08,13.15,Small
FDV56,12.6,Medium
FDY26,20.6,Small
DRE13,6.28,Small
FDE51,5.925,Small
FDL40,17.7,Medium
FDD50,18.85,Small
FDC04,12.6,Medium
FDN15,17.5,Medium
FDC46,17.7,High
FDV56,16.1,High
FDK43,9.8,Medium
NCR29,7.565,Medium
FDY03,17.6,Small
FDU44,12.15,Medium
FDZ04,9.31,High
FDU16,19.25,Medium
FDV07,9.5,Medium
NCL19,15.35,High
FDW01,12.6,Medium
FDC10,12.6,Medium
DRC12,17.85,Medium
DRK39,7.02,High
FDG24,12.6,Medium
FDO04,12.6,Medium
DRB25,12.3,Small
FDK26,5.46,Small
FDM52,15.1,Medium
FDY07,11.8,Medium
NCO06,19.25,Medium
FDO10,13.65,Medium
FDK34,13.35,High
FDS33,12.6,Medium
FDO45,13.15,Medium
FDF08,14.3,Small
FDH58,12.3,Medium
FDS03,7.825,Medium
DRF03,19.1,Small
FDE02,8.71,High
NCZ06,19.6,High
FDW49,19.5,Medium
FDR23,15.85,Medium
NCJ29,12.6,Medium
FDY35,17.6,Medium
FDZ01,12.6,Medium
FDX19,19.1,Small
FDG44,6.13,Medium
FDQ23,6.55,Small
FDY22,16.5,Medium
NCN41,17.0,High
FDA47,10.5,Medium
NCD19,8.93,Medium
FDO36,12.6,Medium
FDH20,16.1,High
FDN12,12.6,Medium
NCJ30,5.82,Medium
FDB09,16.25,Medium
FDA09,13.35,Medium
FDL24,12.6,Medium
FDP03,5.15,Small
FDR58,12.6,Medium
FDO13,7.865,High
DRD49,9.895,Small
NCF42,17.35,Small
DRK35,8.365,Small
FDR58,6.675,High
FDQ15,12.6,Medium
NCP50,17.35,High
FDV45,16.75,Small
DRP35,18.85,Medium
FDN23,6.575,Small
FDS44,12.65,Medium
NCI54,15.2,Medium
FDH40,12.6,Medium
FDF46,7.07,Small
FDA21,13.65,Medium
FDI41,12.6,Small
FDE35,7.06,Medium
DRJ24,11.8,High
NCK17,12.6,Medium
FDA15,9.3,Medium
FDD36,12.6,Medium
DRD60,12.6,Small
FDA46,13.6,High
NCO54,19.5,Medium
FDL48,19.35,Medium
NCM19,12.6,Medium
FDS31,13.1,Medium
FDV12,16.7,Small
FDQ31,5.785,Small
FDK55,12.6,Small
DRG15,6.13,Medium
NCR17,9.8,Medium
FDV01,12.6,Medium
FDT21,7.42,Medium
FDT10,16.7,Small
FDL56,12.6,Small
FDS49,9.0,Medium
FDT32,12.6,Small
NCX42,6.36,High
FDX26,17.7,Medium
FDN02,16.5,High
FDJ40,12.6,Medium
FDU13,12.6,Small
DRE27,11.85,Small
FDS27,10.195,Small
FDU44,12.6,Medium
DRM59,12.6,Small
FDT08,13.65,Medium
FDL46,20.35,Medium
NCV30,20.2,Medium
FDP51,13.85,Small
FDA51,8.05,High
FDM46,7.365,Medium
FDK02,12.5,Medium
FDJ57,7.42,Small
FDJ45,12.6,Medium
NCB31,6.235,Medium
FDJ03,12.35,High
FDT50,6.75,High
NCY41,16.75,Medium
FDJ60,19.35,Medium
FDZ35,9.6,Small
FDS21,19.85,Medium
FDM52,15.1,Small
FDQ08,12.6,Medium
FDQ56,6.59,Small
FDS47,16.75,Medium
DRM48,15.2,Medium
FDW46,13.0,Medium
FDW27,5.86,Medium
NCQ05,11.395,Medium
FDU40,20.85,Medium
DRE12,12.6,Medium
FDX35,5.035,High
FDD51,11.15,Medium
FDY27,6.38,Medium
NCN06,8.39,Small
FDR57,5.675,Small
FDL32,15.7,Medium
FDW46,13.0,Medium
NCO17,12.6,Medium
FDR19,13.5,High
FDJ33,8.895,Medium
FDB15,10.895,Small
FDA52,16.2,Medium
FDZ08,12.6,Medium
FDR27,15.1,Medium
NCK42,7.475,Small
FDZ12,12.6,Small
FDM60,10.8,Medium
NCI31,20.0,Medium
FDX39,14.3,Medium
NCV05,10.1,Medium
FDX16,17.85,Small
DRK12,9.5,Medium
NCA05,20.75,Medium
DRG51,12.1,Medium
NCR30,20.6,Medium
NCE31,7.67,Small
FDM56,12.6,Small
FDP24,20.6,High
DRM37,15.35,Medium
FDN56,5.46,High
DRE60,9.395,Medium
FDW49,12.6,Small
FDM20,10.0,Small
FDK15,12.6,Small
FDK48,7.445,Medium
FDO49,12.6,Small
FDC09,15.5,Medium
NCZ41,19.85,High
FDP19,11.5,Small
FDQ24,12.6,Small
DRL11,10.5,Medium
FDO36,19.7,Small
FDN52,12.6,Medium
FDF21,10.3,Medium
FDU40,20.85,High
FDS51,13.35,Medium
FDE45,12.1,Small
FDX50,20.1,Small
NCN14,12.6,Small
FDQ21,21.25,Medium
FDV57,12.6,Medium
FDB44,6.655,High
FDG52,13.65,High
FDL38,12.6,Small
NCS54,13.6,Medium
DRL37,15.5,Small
FDA43,10.895,High
FDZ39,19.7,Medium
FDG45,8.1,Medium
FDH10,21.0,High
FDO10,13.65,Medium
FDS35,12.6,Medium
FDI41,12.6,Medium
FDN21,12.6,Medium
NCO18,13.15,Medium
FDB34,15.25,Medium
FDD05,19.35,High
FDX59,12.6,Medium
FDZ23,17.75,Medium
FDX27,20.7,Small
FDV07,9.5,Medium
FDR14,11.65,Medium
FDO01,21.1,Medium
FDO13,7.865,Medium
FDU25,12.35,Small
NCK54,12.6,Medium
FDZ56,16.25,High
NCL55,12.15,Medium
FDD59,10.5,Medium
FDJ55,12.8,Medium
FDA45,12.6,Medium
DRF23,4.61,Medium
FDT49,7.0,Medium
NCO17,10.0,Small
FDH22,6.405,Small
FDT34,9.3,Medium
FDB39,11.6,Medium
FDQ22,16.75,Medium
NCN43,12.15,Medium
FDG57,14.7,Medium
FDR20,20.0,Small
FDU22,12.6,Small
NCC43,7.39,Medium
FDP01,20.75,Medium
FDF52,9.3,Medium
FDZ33,10.195,Small
FDP48,12.6,Medium
FDW56,7.68,Medium
FDC26,10.195,Medium
FDF34,9.3,Medium
FDJ33,8.895,Small
FDD04,16.0,Medium
NCJ31,19.2,High
FDO57,20.75,Small
FDM36,12.6,Medium
NCY05,13.5,Small
FDS44,12.6,Medium
FDZ39,19.7,Small
NCM31,6.095,Medium
DRK11,8.21,High
FDO34,17.7,Medium
NCL30,18.1,Small
FDK28,5.695,Medium
DRJ39,20.25,Small
NCP06,12.6,Medium
FDE33,12.6,Medium
FDZ44,8.185,Medium
FDV46,18.2,Medium
NCO06,19.25,Small
DRG03,14.5,High
FDU37,9.5,High
FDI57,19.85,High
FDM45,8.655,High
FDC26,10.195,Small
FDU14,12.6,Medium
FDB26,14.0,Small
FDC29,8.39,Medium
FDY58,11.65,Medium
FDR59,14.5,Small
FDS03,12.6,Medium
FDR43,18.2,High
FDZ25,12.6,Medium
NCN26,10.85,Medium
FDO38,17.25,Medium
FDP28,13.65,Medium
FDG31,12.15,Medium
FDI45,13.1,High
NCS54,13.6,Medium
FDE17,20.1,Medium
NCG06,16.35,Small
FDQ57,12.6,Small
NCB31,6.235,Small
NCP29,8.42,Medium
NCX29,12.6,Small
FDU37,9.5,Medium
FDM02,12.5,Medium
FDN16,12.6,Small
FDR46,16.85,Small
FDE50,12.6,Medium
FDL52,6.635,Medium
FDQ49,20.2,High
FDI14,14.1,Medium
FDS16,15.15,High
FDU15,13.65,Medium
NCG43,12.6,Medium
FDR23,12.6,Medium
FDS52,12.6,Medium
NCP18,12.15,Medium
DRF23,12.6,Medium
FDO09,13.5,Medium
FDB40,17.5,Medium
DRK37,12.6,Small
DRN11,7.85,Small
FDE22,9.695,Medium
FDF04,17.5,Small
FDE41,9.195,Medium
FDW08,12.6,Medium
NCD54,21.1,Small
FDZ33,10.195,Medium
FDO23,17.85,Small
FDN34,15.6,Small
FDL39,16.1,High
FDT28,13.3,Medium
FDH33,12.85,Medium
FDA34,11.5,Medium
FDZ56,16.25,Small
DRH23,14.65,Medium
NCO18,13.15,Small
DRG27,8.895,Medium
FDM28,15.7,Medium
NCY41,16.75,Medium
FDD21,10.3,Small
FDD44,8.05,Medium
FDP16,18.6,Small
FDQ37,20.75,Small
NCY05,13.5,Medium
NCE07,8.18,Small
DRI51,17.25,Small
NCI31,20.0,Medium
FDK60,16.5,Small
FDY12,9.8,Small
FDO38,17.25,Medium
FDP11,15.85,Small
FDC21,12.6,Small
NCF54,18.0,Medium
FDC35,12.6,Medium
FDV43,16.0,Medium
DRE12,4.59,Medium
DRE27,11.85,High
DRC36,12.6,Medium
FDZ38,12.6,Medium
NCW42,18.2,Medium
NCZ18,7.825,Medium
FDL13,12.6,Small
NCN18,8.895,Medium
FDI41,18.5,Medium
FDV22,14.85,High
NCB43,12.6,Medium
FDQ46,7.51,Small
FDC44,15.6,Medium
FDB22,8.02,Small
FDV23,11.0,Medium
FDK10,12.6,Medium
FDF05,17.5,Medium
FDL33,7.235,Small
FDD20,12.6,Medium
NCM54,12.6,Medium
FDW48,18.0,Medium
DRF36,16.1,Medium
NCM06,7.475,Medium
NCA54,16.5,Medium
FDT46,11.35,Medium
